Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
63420,65979,Female,Loyal Customer,10,Personal Travel,Eco,1372,4,4,4,2,5,4,5,5,3,3,4,5,4,5,0,0.0,satisfied
81277,10544,Male,Loyal Customer,47,Business travel,Business,1734,0,4,0,3,2,5,4,5,5,5,5,3,5,4,0,1.0,satisfied
95727,18056,Male,disloyal Customer,23,Business travel,Eco,488,4,0,4,3,4,4,4,4,5,1,5,3,3,4,0,0.0,neutral or dissatisfied
34606,94918,Male,Loyal Customer,41,Business travel,Business,2933,4,4,4,4,2,1,5,4,4,5,4,1,4,5,4,3.0,satisfied
45385,68887,Female,Loyal Customer,47,Business travel,Eco,1061,4,5,5,5,2,3,3,4,4,4,4,3,4,3,4,11.0,neutral or dissatisfied
68231,48787,Female,Loyal Customer,29,Business travel,Business,199,1,5,5,5,4,4,1,4,2,1,2,1,2,4,0,0.0,neutral or dissatisfied
11578,65524,Female,Loyal Customer,17,Business travel,Business,1616,1,1,1,1,5,5,5,5,2,2,3,2,3,5,0,0.0,satisfied
29523,40472,Male,disloyal Customer,25,Business travel,Eco,175,3,0,3,2,2,3,2,2,3,3,3,4,1,2,0,0.0,neutral or dissatisfied
66026,66809,Male,Loyal Customer,51,Business travel,Business,731,2,2,2,2,5,5,5,4,4,3,4,3,4,3,12,15.0,satisfied
87572,76711,Female,disloyal Customer,36,Business travel,Business,547,1,1,1,5,3,1,3,3,4,3,5,5,4,3,24,14.0,neutral or dissatisfied
100667,84031,Male,Loyal Customer,25,Personal Travel,Eco Plus,321,4,5,4,3,4,4,5,4,3,2,4,1,4,4,82,70.0,neutral or dissatisfied
74997,62149,Female,Loyal Customer,37,Business travel,Eco,2565,3,3,3,3,3,3,3,3,3,4,1,1,3,3,52,52.0,neutral or dissatisfied
15931,117160,Male,Loyal Customer,9,Personal Travel,Eco,647,3,5,3,5,4,3,4,4,2,3,3,4,3,4,20,9.0,neutral or dissatisfied
26327,29520,Male,Loyal Customer,41,Business travel,Business,1009,2,2,2,2,3,1,3,4,4,4,4,1,4,5,0,0.0,satisfied
16304,15229,Female,Loyal Customer,43,Business travel,Business,1844,5,5,3,5,5,5,1,2,2,2,2,3,2,1,2,3.0,satisfied
21847,12377,Female,disloyal Customer,39,Business travel,Business,305,1,1,1,4,3,1,3,3,4,3,4,4,4,3,0,0.0,neutral or dissatisfied
51262,20576,Female,Loyal Customer,39,Personal Travel,Eco,633,1,4,1,3,1,1,1,1,4,4,4,5,5,1,7,0.0,neutral or dissatisfied
100863,77472,Female,Loyal Customer,62,Personal Travel,Eco,507,2,4,2,5,4,5,4,1,1,2,1,4,1,5,0,0.0,neutral or dissatisfied
15590,99265,Female,Loyal Customer,27,Business travel,Business,2356,2,2,2,2,4,4,4,4,3,3,5,3,5,4,25,18.0,satisfied
20438,42480,Female,Loyal Customer,47,Business travel,Eco Plus,429,2,5,5,5,2,2,2,2,5,3,4,2,3,2,155,173.0,neutral or dissatisfied
94829,104389,Male,disloyal Customer,20,Business travel,Eco,228,5,0,5,3,5,5,5,5,4,3,4,5,4,5,0,0.0,satisfied
40798,15511,Female,Loyal Customer,13,Personal Travel,Eco,433,2,4,2,2,2,2,2,2,3,4,5,3,4,2,0,0.0,neutral or dissatisfied
62213,82158,Female,Loyal Customer,47,Business travel,Eco,237,2,3,3,3,4,4,4,2,2,2,2,2,2,2,0,0.0,neutral or dissatisfied
50334,125420,Female,Loyal Customer,9,Business travel,Business,735,2,1,1,1,2,2,2,2,4,1,3,4,4,2,0,0.0,neutral or dissatisfied
46484,54527,Female,Loyal Customer,9,Personal Travel,Eco,925,3,4,3,1,3,3,3,3,3,5,5,4,5,3,0,10.0,neutral or dissatisfied
27868,108373,Male,Loyal Customer,49,Personal Travel,Eco,1855,3,4,3,4,3,4,4,3,5,3,3,4,4,4,165,224.0,neutral or dissatisfied
85070,64975,Female,disloyal Customer,42,Business travel,Eco,151,1,4,0,3,4,0,4,4,4,4,3,4,4,4,19,17.0,neutral or dissatisfied
30341,91546,Male,Loyal Customer,44,Business travel,Eco,680,2,3,3,3,2,2,2,2,1,1,4,1,4,2,0,0.0,neutral or dissatisfied
101073,22975,Female,disloyal Customer,20,Business travel,Eco,641,5,5,5,2,2,5,2,2,3,3,3,5,2,2,0,0.0,satisfied
67689,95115,Female,Loyal Customer,48,Personal Travel,Eco,677,2,5,2,3,3,4,5,2,2,2,2,4,2,5,0,0.0,neutral or dissatisfied
14471,113628,Female,Loyal Customer,49,Personal Travel,Eco,236,3,2,3,4,2,3,4,2,2,3,2,2,2,4,15,5.0,neutral or dissatisfied
96482,118336,Male,Loyal Customer,46,Business travel,Eco,602,2,5,5,5,2,2,2,2,2,5,3,2,4,2,0,0.0,neutral or dissatisfied
18276,65531,Male,Loyal Customer,19,Personal Travel,Eco,1616,3,2,3,4,3,3,3,3,3,3,4,1,3,3,33,39.0,neutral or dissatisfied
13646,41116,Male,Loyal Customer,48,Business travel,Eco,667,3,1,1,1,3,3,3,3,1,5,1,2,1,3,0,0.0,neutral or dissatisfied
2587,30642,Female,disloyal Customer,32,Business travel,Eco,533,2,4,2,3,2,2,4,2,2,1,3,3,4,2,20,24.0,neutral or dissatisfied
72100,53297,Female,disloyal Customer,28,Business travel,Eco,758,3,3,3,3,3,3,3,3,3,5,4,4,3,3,12,7.0,neutral or dissatisfied
97824,14489,Female,Loyal Customer,33,Personal Travel,Eco,495,1,4,3,4,3,3,3,3,5,4,4,3,4,3,103,98.0,neutral or dissatisfied
19968,10290,Female,Loyal Customer,49,Business travel,Business,224,4,4,4,4,5,4,4,5,5,5,5,4,5,3,0,3.0,satisfied
21476,127193,Female,Loyal Customer,51,Business travel,Business,325,4,4,5,4,5,4,5,5,5,5,5,5,5,5,0,0.0,satisfied
76185,113841,Female,Loyal Customer,59,Personal Travel,Business,1334,3,5,3,3,3,4,5,3,3,3,3,3,3,4,0,19.0,neutral or dissatisfied
103883,110591,Female,Loyal Customer,65,Personal Travel,Eco,488,3,5,5,5,3,5,5,2,2,5,2,3,2,4,0,0.0,neutral or dissatisfied
20437,64192,Male,Loyal Customer,45,Business travel,Business,853,1,1,1,1,4,5,4,3,3,4,3,4,3,4,67,78.0,satisfied
51217,90494,Male,Loyal Customer,47,Business travel,Business,404,3,3,3,3,5,5,5,4,4,4,4,4,4,3,0,0.0,satisfied
98735,101590,Male,Loyal Customer,56,Personal Travel,Eco Plus,1099,4,5,4,3,1,4,1,1,4,4,5,3,1,1,0,0.0,neutral or dissatisfied
43438,87279,Female,disloyal Customer,22,Business travel,Eco,577,4,1,4,3,5,4,5,5,3,4,3,4,3,5,0,0.0,neutral or dissatisfied
12267,70103,Male,Loyal Customer,62,Business travel,Business,3137,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,0.0,neutral or dissatisfied
54380,98226,Female,Loyal Customer,30,Business travel,Business,3931,2,1,2,2,4,4,4,4,3,3,5,5,4,4,0,0.0,satisfied
31160,55724,Male,Loyal Customer,32,Business travel,Business,1700,5,5,5,5,4,4,4,4,4,4,5,3,5,4,0,0.0,satisfied
57877,24491,Female,disloyal Customer,37,Business travel,Eco,147,2,0,2,2,5,2,5,5,1,2,5,1,3,5,22,15.0,neutral or dissatisfied
39712,23712,Male,Loyal Customer,69,Personal Travel,Eco,251,4,3,0,3,1,0,1,1,1,4,4,1,4,1,0,0.0,neutral or dissatisfied
60255,104502,Female,Loyal Customer,39,Business travel,Business,1609,5,5,5,5,3,4,4,5,5,5,5,5,5,4,0,0.0,satisfied
57802,24907,Male,Loyal Customer,43,Business travel,Eco,762,5,4,4,4,4,5,4,4,4,2,4,4,2,4,18,0.0,satisfied
88712,118995,Female,Loyal Customer,42,Business travel,Business,1772,1,1,1,1,5,4,5,5,5,5,5,3,5,4,0,1.0,satisfied
31907,112338,Male,disloyal Customer,45,Business travel,Business,909,5,5,5,1,3,5,3,3,3,4,5,5,5,3,0,6.0,satisfied
32962,18862,Male,Loyal Customer,18,Business travel,Business,2023,2,1,1,1,2,2,2,2,3,5,3,2,3,2,0,0.0,neutral or dissatisfied
43340,121364,Male,Loyal Customer,21,Personal Travel,Eco,1670,1,0,1,5,5,1,5,5,3,3,4,5,5,5,0,29.0,neutral or dissatisfied
47437,83093,Female,Loyal Customer,9,Personal Travel,Eco,983,2,4,2,2,1,2,1,1,4,4,5,5,4,1,0,65.0,neutral or dissatisfied
6918,68512,Male,Loyal Customer,31,Personal Travel,Eco Plus,1067,3,4,3,2,4,3,4,4,3,3,5,3,4,4,0,10.0,neutral or dissatisfied
3830,100354,Female,Loyal Customer,11,Personal Travel,Eco,1034,2,5,3,1,4,3,4,4,5,2,5,4,4,4,0,0.0,neutral or dissatisfied
67243,44119,Male,Loyal Customer,51,Business travel,Business,3683,3,3,5,3,1,4,2,4,4,4,3,3,4,2,0,0.0,satisfied
4521,63138,Male,disloyal Customer,36,Business travel,Business,447,2,2,2,2,3,2,3,3,4,2,5,3,4,3,0,0.0,neutral or dissatisfied
23540,70301,Female,Loyal Customer,54,Business travel,Business,2986,0,0,0,1,2,4,4,5,5,5,5,4,5,4,0,0.0,satisfied
82078,28959,Male,Loyal Customer,31,Business travel,Business,697,4,2,2,2,4,3,4,4,2,3,2,3,3,4,0,0.0,neutral or dissatisfied
99817,121103,Male,Loyal Customer,31,Business travel,Business,2402,5,5,5,5,5,5,5,5,4,4,3,5,4,5,0,0.0,satisfied
36560,6664,Male,disloyal Customer,25,Business travel,Business,438,4,0,4,3,2,4,2,2,4,3,4,3,5,2,8,1.0,satisfied
6706,87211,Female,Loyal Customer,56,Personal Travel,Eco,946,4,2,4,4,1,3,4,5,5,4,5,3,5,2,0,0.0,neutral or dissatisfied
36196,1461,Female,disloyal Customer,35,Business travel,Business,772,1,1,1,4,1,1,1,1,3,5,5,4,4,1,0,0.0,neutral or dissatisfied
46310,74795,Female,Loyal Customer,60,Business travel,Business,1464,1,2,1,1,5,5,5,4,4,4,4,3,4,4,0,7.0,satisfied
8761,60138,Female,Loyal Customer,30,Business travel,Business,3101,2,4,4,4,2,3,2,2,2,1,2,3,2,2,0,0.0,neutral or dissatisfied
14294,101674,Male,Loyal Customer,34,Personal Travel,Eco,2106,4,2,4,4,2,4,2,2,4,1,3,4,4,2,4,0.0,satisfied
28166,2489,Female,Loyal Customer,42,Business travel,Business,1379,4,4,4,4,3,5,4,4,4,4,4,3,4,5,37,22.0,satisfied
94594,22438,Female,Loyal Customer,45,Personal Travel,Eco,145,3,4,3,4,5,2,5,5,5,3,4,1,5,2,12,23.0,neutral or dissatisfied
58589,85312,Female,Loyal Customer,66,Personal Travel,Eco,689,4,4,4,3,4,5,5,5,5,4,5,3,5,3,3,0.0,neutral or dissatisfied
26749,40977,Female,Loyal Customer,33,Business travel,Eco Plus,601,5,1,4,4,5,5,5,5,4,2,1,1,3,5,0,0.0,satisfied
94889,115794,Female,Loyal Customer,36,Business travel,Business,2554,5,5,5,5,2,3,4,4,4,4,4,3,4,5,29,25.0,satisfied
2365,2011,Female,Loyal Customer,72,Business travel,Eco Plus,293,1,2,2,2,3,4,4,1,1,1,1,2,1,2,0,0.0,neutral or dissatisfied
42797,20447,Female,disloyal Customer,36,Business travel,Eco,177,3,0,2,4,5,2,4,5,3,5,1,3,1,5,40,21.0,neutral or dissatisfied
55377,129257,Female,Loyal Customer,44,Business travel,Business,2820,1,1,1,1,5,5,4,5,5,5,5,4,5,5,0,0.0,satisfied
13637,112645,Female,Loyal Customer,58,Business travel,Business,1756,3,3,3,3,5,4,5,5,5,5,5,3,5,5,1,15.0,satisfied
21492,88480,Female,Loyal Customer,40,Business travel,Eco,404,3,1,3,1,3,3,3,3,2,1,2,4,2,3,7,11.0,neutral or dissatisfied
54643,98973,Female,Loyal Customer,23,Personal Travel,Eco,569,4,4,4,2,4,4,1,4,3,5,4,5,5,4,67,63.0,satisfied
84686,55985,Female,Loyal Customer,35,Business travel,Eco Plus,1620,4,5,1,1,4,3,4,4,3,1,3,2,3,4,0,0.0,neutral or dissatisfied
38112,65962,Female,Loyal Customer,39,Business travel,Business,1372,2,2,2,2,3,5,5,4,4,4,4,5,4,3,0,0.0,satisfied
77848,121896,Female,Loyal Customer,25,Personal Travel,Eco,366,0,5,0,3,1,0,1,1,3,3,4,4,5,1,1,0.0,satisfied
50232,129524,Male,Loyal Customer,55,Business travel,Business,2342,4,3,4,4,5,5,4,4,4,4,4,4,4,5,51,52.0,satisfied
70035,49945,Female,disloyal Customer,33,Business travel,Eco,86,1,0,1,3,5,1,5,5,3,2,4,2,3,5,17,11.0,neutral or dissatisfied
102020,75190,Male,Loyal Customer,21,Business travel,Eco,1829,1,2,2,2,1,1,2,1,2,3,4,2,4,1,0,0.0,neutral or dissatisfied
42131,73016,Male,Loyal Customer,11,Personal Travel,Eco,1096,1,3,0,4,3,0,3,3,3,2,3,4,4,3,10,13.0,neutral or dissatisfied
86791,26501,Male,Loyal Customer,40,Business travel,Eco,829,4,1,1,1,4,3,4,4,4,5,1,1,1,4,0,0.0,neutral or dissatisfied
16041,69648,Female,disloyal Customer,25,Business travel,Business,569,5,4,5,1,1,5,1,1,5,4,5,4,5,1,0,0.0,satisfied
18962,30042,Male,disloyal Customer,30,Business travel,Eco,95,2,5,2,4,3,2,2,3,2,4,2,5,2,3,0,0.0,neutral or dissatisfied
97525,123958,Female,Loyal Customer,45,Business travel,Business,2581,2,2,2,2,3,5,5,5,5,5,5,5,5,3,0,0.0,satisfied
66899,60605,Female,Loyal Customer,52,Business travel,Business,991,3,3,3,3,5,4,5,3,3,3,3,4,3,4,0,0.0,satisfied
5312,105228,Female,Loyal Customer,57,Business travel,Business,1914,1,1,1,1,2,1,1,1,1,1,1,2,1,1,31,26.0,neutral or dissatisfied
65804,27504,Female,Loyal Customer,63,Business travel,Business,2645,3,2,2,2,4,3,4,3,3,3,3,4,3,4,4,0.0,neutral or dissatisfied
97606,88,Female,Loyal Customer,52,Personal Travel,Eco,67,2,5,2,1,3,4,4,1,1,2,1,5,1,4,2,0.0,neutral or dissatisfied
83972,124446,Female,Loyal Customer,47,Personal Travel,Business,980,3,5,2,1,4,5,5,5,5,2,5,3,5,4,52,39.0,neutral or dissatisfied
78210,45243,Female,Loyal Customer,55,Personal Travel,Eco,1013,2,1,2,4,5,4,4,4,4,2,5,4,4,4,0,0.0,neutral or dissatisfied
88179,104753,Male,Loyal Customer,37,Personal Travel,Eco,1407,2,4,2,2,2,2,2,2,4,1,5,5,5,2,4,7.0,neutral or dissatisfied
72335,58154,Male,Loyal Customer,49,Business travel,Eco,925,2,2,2,2,2,2,2,2,2,1,3,3,3,2,3,3.0,neutral or dissatisfied
41393,28526,Female,disloyal Customer,23,Business travel,Eco,1316,1,1,1,3,5,1,5,5,5,4,3,1,4,5,5,0.0,neutral or dissatisfied
24117,24155,Female,disloyal Customer,23,Business travel,Eco,302,3,0,3,2,5,3,5,5,1,4,4,4,1,5,0,0.0,neutral or dissatisfied
73092,104751,Female,Loyal Customer,61,Business travel,Eco,942,4,5,5,5,2,4,3,4,4,4,4,1,4,2,0,1.0,satisfied
41631,49199,Male,disloyal Customer,33,Business travel,Eco,110,1,1,1,4,5,1,5,5,1,1,3,3,4,5,0,0.0,neutral or dissatisfied
77784,94844,Male,disloyal Customer,44,Business travel,Business,239,2,2,2,4,3,2,3,3,5,5,4,3,4,3,1,0.0,neutral or dissatisfied
89936,28689,Male,disloyal Customer,30,Business travel,Eco,1231,4,4,4,1,1,4,1,1,3,4,5,3,2,1,0,0.0,satisfied
54765,8854,Male,disloyal Customer,39,Business travel,Business,539,3,3,3,4,3,3,3,3,5,2,4,4,5,3,9,0.0,neutral or dissatisfied
80292,57921,Male,Loyal Customer,35,Personal Travel,Eco,305,3,2,3,3,4,3,4,4,4,1,4,2,4,4,0,12.0,neutral or dissatisfied
84423,26841,Male,Loyal Customer,57,Business travel,Business,3490,4,4,4,4,4,1,1,4,4,4,4,3,4,2,0,0.0,satisfied
79168,124417,Female,disloyal Customer,29,Business travel,Eco,1262,3,3,3,2,1,3,1,1,3,1,3,1,3,1,0,0.0,neutral or dissatisfied
9622,91774,Male,Loyal Customer,56,Personal Travel,Eco,626,4,5,5,3,2,5,2,2,3,3,5,3,4,2,82,92.0,satisfied
90026,55245,Female,Loyal Customer,60,Personal Travel,Eco,1009,1,5,1,3,3,4,4,1,1,1,1,5,1,5,0,0.0,neutral or dissatisfied
67461,68776,Male,Loyal Customer,27,Business travel,Business,1793,4,5,5,5,4,3,4,4,2,3,3,2,4,4,22,26.0,neutral or dissatisfied
28992,74232,Male,Loyal Customer,30,Business travel,Business,1535,2,2,2,2,2,2,2,2,4,5,3,3,3,2,0,0.0,neutral or dissatisfied
99333,31250,Female,Loyal Customer,39,Business travel,Eco,524,3,2,2,2,3,4,3,3,3,4,2,4,5,3,16,16.0,satisfied
9397,98746,Male,Loyal Customer,53,Personal Travel,Eco,1290,2,4,3,2,2,3,5,2,5,4,3,3,5,2,0,10.0,neutral or dissatisfied
12919,95892,Female,Loyal Customer,41,Personal Travel,Eco,580,3,4,3,5,4,3,4,4,5,4,2,4,2,4,22,25.0,neutral or dissatisfied
102211,64279,Female,Loyal Customer,41,Business travel,Business,1192,1,1,2,1,3,4,5,5,5,5,5,3,5,5,0,0.0,satisfied
25292,34598,Female,Loyal Customer,43,Personal Travel,Eco,1576,2,5,2,4,2,5,5,1,1,2,1,5,1,5,0,0.0,neutral or dissatisfied
88770,88190,Male,Loyal Customer,33,Business travel,Business,594,3,3,3,3,4,3,4,4,5,5,5,4,4,4,0,0.0,satisfied
22763,124967,Male,disloyal Customer,40,Business travel,Eco,184,3,3,3,4,3,3,3,3,1,5,3,2,3,3,0,0.0,neutral or dissatisfied
80365,21264,Male,Loyal Customer,59,Business travel,Business,620,2,2,5,2,3,5,5,5,5,5,5,3,5,5,0,0.0,satisfied
76683,36888,Female,Loyal Customer,64,Personal Travel,Eco,1182,1,4,1,2,4,3,4,2,2,1,2,5,2,3,0,0.0,neutral or dissatisfied
52213,84105,Female,Loyal Customer,54,Business travel,Business,2036,4,4,4,4,5,5,4,5,5,5,5,5,5,3,0,0.0,satisfied
49446,72399,Male,Loyal Customer,58,Business travel,Business,3944,5,5,2,5,5,5,4,4,4,4,4,5,4,3,0,0.0,satisfied
20373,25815,Male,disloyal Customer,37,Business travel,Eco,1010,3,3,3,3,3,3,3,3,3,5,4,3,3,3,0,22.0,neutral or dissatisfied
65366,111733,Female,Loyal Customer,58,Business travel,Business,1224,4,4,4,4,5,4,5,5,5,5,5,4,5,5,0,0.0,satisfied
67957,86095,Female,disloyal Customer,43,Business travel,Business,164,2,2,2,3,4,2,4,4,4,5,2,3,3,4,25,13.0,neutral or dissatisfied
58239,98851,Male,Loyal Customer,16,Personal Travel,Business,1751,2,5,2,1,1,2,1,1,3,2,2,5,4,1,0,0.0,neutral or dissatisfied
17812,127406,Female,disloyal Customer,24,Business travel,Eco,872,1,1,1,4,3,1,3,3,2,4,3,4,3,3,0,1.0,neutral or dissatisfied
73853,38048,Male,Loyal Customer,27,Business travel,Business,3538,2,2,2,2,4,4,4,4,3,5,2,3,1,4,21,107.0,satisfied
100903,85858,Male,Loyal Customer,35,Personal Travel,Eco Plus,666,2,5,2,3,4,2,4,4,4,5,2,1,4,4,14,7.0,neutral or dissatisfied
8180,58347,Female,Loyal Customer,49,Personal Travel,Eco,315,1,3,1,2,5,2,3,1,1,1,1,3,1,1,0,10.0,neutral or dissatisfied
59350,49530,Male,Loyal Customer,35,Business travel,Business,421,2,2,4,2,4,4,5,4,4,4,4,2,4,1,0,0.0,satisfied
83000,73640,Female,Loyal Customer,47,Business travel,Business,2651,1,1,1,1,4,4,5,4,4,4,4,5,4,5,0,0.0,satisfied
74622,30024,Male,disloyal Customer,40,Business travel,Eco,204,2,0,2,3,5,2,5,5,3,2,5,3,1,5,0,0.0,neutral or dissatisfied
38746,32276,Male,Loyal Customer,32,Business travel,Business,3338,4,4,4,4,5,4,4,5,1,3,2,2,3,5,0,1.0,satisfied
6954,76244,Male,Loyal Customer,63,Personal Travel,Eco,1399,1,1,1,2,3,1,3,3,3,1,3,2,2,3,0,0.0,neutral or dissatisfied
53702,67548,Male,Loyal Customer,62,Personal Travel,Business,1171,2,4,2,3,3,3,5,4,4,2,4,4,4,3,3,0.0,neutral or dissatisfied
32647,1037,Male,Loyal Customer,37,Business travel,Business,1901,5,3,3,3,2,2,2,1,1,1,5,1,1,1,0,0.0,neutral or dissatisfied
10770,91793,Male,Loyal Customer,46,Personal Travel,Eco,590,2,4,2,3,4,2,4,4,4,2,5,3,4,4,0,0.0,neutral or dissatisfied
60668,128270,Male,Loyal Customer,44,Business travel,Business,3966,3,4,4,4,5,3,3,3,3,3,3,2,3,1,60,67.0,neutral or dissatisfied
90612,62388,Female,Loyal Customer,54,Business travel,Eco,1204,4,3,3,3,2,1,3,4,4,4,4,1,4,3,0,0.0,satisfied
84203,62733,Female,disloyal Customer,25,Business travel,Business,2615,2,0,3,3,3,1,2,5,3,5,5,2,3,2,2,11.0,neutral or dissatisfied
81323,96818,Male,disloyal Customer,14,Business travel,Eco,972,4,4,4,1,3,4,3,3,5,2,4,4,5,3,5,0.0,satisfied
61266,58781,Female,disloyal Customer,57,Business travel,Eco,1012,1,0,0,4,3,0,3,3,1,3,3,1,3,3,0,3.0,neutral or dissatisfied
90882,100457,Male,Loyal Customer,43,Business travel,Business,2011,2,2,2,2,5,5,5,4,4,4,4,5,4,3,17,8.0,satisfied
97922,105053,Male,Loyal Customer,70,Personal Travel,Eco,255,3,2,3,3,5,3,5,5,3,3,2,4,3,5,0,0.0,neutral or dissatisfied
27565,129043,Male,disloyal Customer,29,Business travel,Business,1376,4,4,4,1,3,4,3,3,3,4,4,5,4,3,0,0.0,satisfied
521,32801,Female,Loyal Customer,32,Business travel,Eco,163,2,4,4,4,2,2,2,2,3,2,4,2,3,2,0,0.0,neutral or dissatisfied
65966,36876,Male,Loyal Customer,40,Business travel,Eco,1182,3,5,5,5,3,4,3,3,5,3,5,5,1,3,11,5.0,satisfied
44957,43664,Female,disloyal Customer,26,Business travel,Eco,695,3,3,3,4,2,3,2,2,1,2,4,3,4,2,0,9.0,neutral or dissatisfied
63819,126105,Male,disloyal Customer,52,Business travel,Eco,600,1,2,1,3,3,1,3,3,2,4,3,4,4,3,2,9.0,neutral or dissatisfied
55809,52087,Female,Loyal Customer,25,Business travel,Business,2582,2,2,2,2,2,1,2,2,1,5,4,3,4,2,0,6.0,neutral or dissatisfied
21535,46212,Female,disloyal Customer,27,Business travel,Eco,752,2,2,2,4,5,2,5,5,5,1,5,5,2,5,113,106.0,neutral or dissatisfied
13235,63098,Male,disloyal Customer,30,Business travel,Eco Plus,967,4,4,4,4,3,4,3,3,2,2,3,4,4,3,1,0.0,neutral or dissatisfied
55258,113109,Female,Loyal Customer,28,Personal Travel,Eco,543,2,5,2,3,2,2,2,2,3,4,4,3,2,2,53,56.0,neutral or dissatisfied
103487,110463,Female,Loyal Customer,32,Personal Travel,Eco,925,3,4,3,1,3,3,3,3,3,5,4,5,4,3,13,1.0,neutral or dissatisfied
3872,29579,Male,Loyal Customer,25,Business travel,Business,1448,1,1,1,1,4,4,4,4,5,5,1,2,1,4,0,0.0,satisfied
80418,129035,Male,Loyal Customer,34,Business travel,Business,1846,3,2,2,2,1,3,4,3,3,3,3,1,3,1,49,31.0,neutral or dissatisfied
99989,27524,Male,Loyal Customer,57,Personal Travel,Eco,954,1,2,1,3,1,1,1,1,4,2,4,2,4,1,3,13.0,neutral or dissatisfied
23355,127940,Female,Loyal Customer,67,Personal Travel,Eco,2300,4,4,3,3,3,3,2,2,2,3,2,2,2,3,12,0.0,satisfied
5947,54220,Female,Loyal Customer,53,Business travel,Eco,1222,5,3,3,3,1,2,3,5,5,5,5,1,5,4,11,0.0,satisfied
35180,105297,Female,Loyal Customer,41,Business travel,Business,738,3,5,5,5,3,3,3,3,3,3,3,1,3,4,7,0.0,neutral or dissatisfied
37924,66831,Male,Loyal Customer,41,Business travel,Business,731,4,4,4,4,3,5,5,5,5,5,5,3,5,3,7,0.0,satisfied
84018,86711,Male,Loyal Customer,50,Business travel,Business,1747,1,2,2,2,3,3,2,1,1,1,1,3,1,2,40,33.0,neutral or dissatisfied
64716,55894,Male,Loyal Customer,44,Business travel,Business,1903,5,5,5,5,5,5,4,4,4,4,4,5,4,4,0,1.0,satisfied
21956,9617,Female,Loyal Customer,16,Personal Travel,Eco,296,2,4,2,1,5,2,5,5,3,4,4,3,4,5,0,0.0,neutral or dissatisfied
26156,119241,Female,Loyal Customer,57,Business travel,Business,331,1,1,5,1,5,4,4,5,5,5,5,5,5,4,0,0.0,satisfied
102250,72552,Male,disloyal Customer,23,Business travel,Eco,918,2,2,2,4,2,2,2,2,1,1,3,2,4,2,0,0.0,neutral or dissatisfied
66049,46390,Female,Loyal Customer,30,Personal Travel,Eco,1081,4,1,4,3,2,4,2,2,2,3,4,1,3,2,7,5.0,neutral or dissatisfied
31777,99456,Female,disloyal Customer,24,Business travel,Eco,283,5,4,5,2,4,5,4,4,3,3,4,5,4,4,0,0.0,satisfied
53517,65633,Female,Loyal Customer,45,Personal Travel,Eco,237,2,1,2,2,1,2,2,2,2,2,2,4,2,3,24,24.0,neutral or dissatisfied
80089,68936,Male,Loyal Customer,40,Business travel,Business,2388,2,1,1,1,2,3,4,2,2,2,2,2,2,2,0,7.0,neutral or dissatisfied
43664,90516,Male,Loyal Customer,18,Business travel,Business,545,4,4,4,4,4,4,4,4,5,3,5,3,4,4,0,0.0,satisfied
9553,2391,Male,disloyal Customer,26,Business travel,Business,641,2,2,2,5,3,2,3,3,3,3,4,5,4,3,0,0.0,neutral or dissatisfied
86785,66889,Male,Loyal Customer,36,Business travel,Business,3909,4,4,4,4,2,4,5,4,4,4,4,5,4,5,0,0.0,satisfied
14464,966,Male,Loyal Customer,17,Business travel,Business,2079,2,2,2,2,4,4,4,4,4,5,4,3,5,4,0,0.0,satisfied
13239,73022,Female,Loyal Customer,25,Personal Travel,Eco,1089,3,3,3,5,5,3,4,5,4,1,2,5,2,5,0,0.0,neutral or dissatisfied
82354,43605,Female,Loyal Customer,57,Business travel,Business,2470,0,0,0,2,4,3,3,4,4,4,4,4,4,2,0,0.0,satisfied
98813,47224,Female,Loyal Customer,58,Personal Travel,Eco,620,3,4,2,3,3,5,5,3,3,2,3,4,3,5,15,4.0,neutral or dissatisfied
69499,45049,Male,Loyal Customer,39,Business travel,Business,2045,2,2,2,2,3,4,2,4,4,4,4,1,4,3,0,19.0,satisfied
62024,16104,Female,Loyal Customer,68,Personal Travel,Eco,303,3,5,3,3,3,4,4,5,5,3,5,5,5,4,5,18.0,neutral or dissatisfied
67638,95336,Male,Loyal Customer,54,Personal Travel,Eco,239,3,4,3,4,2,3,4,2,3,4,5,3,2,2,0,0.0,neutral or dissatisfied
5552,36471,Female,Loyal Customer,33,Personal Travel,Eco,901,2,3,2,2,4,2,4,4,2,2,3,3,3,4,0,21.0,neutral or dissatisfied
4911,62789,Female,Loyal Customer,13,Personal Travel,Eco,2338,3,4,2,3,4,2,4,4,3,5,4,3,5,4,25,11.0,neutral or dissatisfied
73830,125149,Female,disloyal Customer,30,Business travel,Eco,764,2,2,2,4,3,2,3,3,1,1,4,4,3,3,26,4.0,neutral or dissatisfied
28241,109526,Male,Loyal Customer,50,Business travel,Eco,966,5,2,2,2,5,5,5,5,4,3,4,2,2,5,0,0.0,satisfied
